CIV2710E,Lab,1,Lundi,12:45,3:00,15:45,Semaines paires (B2),17/12/2025 � 13:30
CIV2920,Cours,1,Mercredi,8:30,1:00,9:30,Hebdomadaire,16/12/2025 � 13:30
CIV2920,Lab,1,Mercredi,9:30,2:00,11:30,Hebdomadaire,16/12/2025 � 13:30
CIV3100,Cours,1,Vendredi,17:45,1:00,18:45,Hebdomadaire,Voir note de haut de page
CIV3100A,Cours,1,Vendredi,17:45,1:00,18:45,Hebdomadaire,Voir note de haut de page
CIV3100I,Cours,1,Vendredi,17:45,1:00,18:45,Hebdomadaire,Voir note de haut de page
CIV3220,Cours,1,Vendredi,8:30,3:00,11:30,Hebdomadaire,12/12/2025 � 13:30
CIV3220,Cours,2,Jeudi,8:30,3:00,11:30,Hebdomadaire,12/12/2025 � 13:30
CIV3220,Cours,3,Jeudi,13:45,3:00,16:45,Hebdomadaire,12/12/2025 � 13:30
CIV3220,Lab,1,Lundi,8:30,3:00,11:30,Semaines impaires (B1),12/12/2025 � 13:30
CIV3220,Lab,2,Lundi,8:30,3:00,11:30,Semaines paires (B2),12/12/2025 � 13:30
CIV3220,Lab,3,Mardi,8:30,3:00,11:30,Semaines impaires (B1),12/12/2025 � 13:30
CIV3330,Cours,1,Mercredi,8:30,3:00,11:30,Hebdomadaire,11/12/2025 � 13:30
CIV3330,Cours,2,Mardi,8:30,3:00,11:30,Hebdomadaire,11/12/2025 � 13:30
CIV3330,Lab,1,Vendredi,15:45,2:00,17:45,Hebdomadaire,11/12/2025 � 13:30
CIV3330,Lab,2,Vendredi,12:45,2:00,14:45,Hebdomadaire,11/12/2025 � 13:30
CIV3415,Cours,1,Lundi,12:45,3:00,15:45,Hebdomadaire,15/12/2025 � 13:30
CIV3415,Lab,1,Jeudi,13:45,3:00,16:45,Hebdomadaire,15/12/2025 � 13:30
CIV3415,Lab,2,Vendredi,9:30,3:00,12:30,Hebdomadaire,15/12/2025 � 13:30
CIV3420,Cours,1,Mardi,12:45,3:00,15:45,Hebdomadaire,15/12/2025 � 9:30
CIV3420,Lab,1,Vendredi,8:30,3:00,11:30,Semaines impaires (B1),15/12/2025 � 9:30
CIV3420,Lab,2,Vendredi,8:30,3:00,11:30,Semaines paires (B2),15/12/2025 � 9:30
CIV3502,Cours,1,Mardi,14:45,3:00,17:45,Hebdomadaire,05/12/2025 � 13:30
CIV3502,Lab,1,Mercredi,14:45,3:00,17:45,Semaines impaires (B1),05/12/2025 � 13:30
CIV3503,Cours,1,Mercredi,8:30,3:00,11:30,Hebdomadaire,09/12/2025 � 9:30
CIV3503,Lab,1,Mercredi,12:45,3:00,15:45,Semaines impaires (B1),09/12/2025 � 9:30
CIV3504,Cours,1,Mardi,9:30,3:00,12:30,Hebdomadaire,20/12/2025 � 9:30
CIV3504,Lab,1,Mercredi,12:45,3:00,15:45,Semaines paires (B2),20/12/2025 � 9:30
CIV3930,Cours,1,Mercredi,12:45,2:00,14:45,Hebdomadaire,17/12/2025 � 13:30
CIV3930,Cours,2,Lundi,15:45,2:00,17:45,Hebdomadaire,17/12/2025 � 13:30
CIV3930,Lab,1,Jeudi,8:30,3:00,11:30,Hebdomadaire,17/12/2025 � 13:30
CIV3930,Lab,2,Mercredi,8:30,3:00,11:30,Hebdomadaire,17/12/2025 � 13:30
CIV6200,Cours,1,Jeudi,8:30,3:00,11:30,Hebdomadaire,10/12/2025 � 13:30
CIV6200,Lab,1,Lundi,12:45,3:00,15:45,Hebdomadaire,10/12/2025 � 13:30
CIV6215A,Cours,1,Mercredi,12:45,3:00,15:45,Hebdomadaire,Voir note de haut de page
CIV6215A,Lab,1,Vendredi,12:45,3:00,15:45,Semaines impaires (B1),Voir note de haut de page
CIV6216A,Cours,1,Vendredi,8:30,3:00,11:30,Hebdomadaire,Voir note de haut de page
CIV6216A,Lab,1,Vendredi,11:30,1:00,12:30,Hebdomadaire,Voir note de haut de page
CIV6301,Cours,1,Lundi,14:45,3:00,17:45,Hebdomadaire,Voir note de haut de page
CIV6302,Cours,1,Vendredi,14:45,3:00,17:45,Hebdomadaire,Voir note de haut de page
CIV6307,Cours,1,Mercredi,12:45,3:00,15:45,Hebdomadaire,Voir note de haut de page
CIV6321,Cours,1,Mercredi,8:30,3:00,11:30,Hebdomadaire,Voir note de haut de page
CIV6321,Lab,1,Lundi,12:45,2:00,14:45,Hebdomadaire,Voir note de haut de page
CIV6321E,Cours,1,Vendredi,14:45,3:00,17:45,Hebdomadaire,Voir note de haut de page
CIV6321E,Lab,1,Mardi,8:30,2:00,10:30,Hebdomadaire,Voir note de haut de page
CIV6401,Cours,1,Mercredi,9:30,3:00,12:30,Hebdomadaire,Voir note de haut de page
CIV6404,Cours,1,Lundi,12:45,3:00,15:45,Hebdomadaire,Voir note de haut de page
CIV6406,Cours,1,Lundi,18:00,3:00,21:00,Hebdomadaire,Voir note de haut de page
